fname,modelname,modeloutput,parmcode,n_ints,datacode,simdat,modelmix,datamix,datamodelmatch
Gamma9_GFF,Gamma_model_zero,f.gamma9,3,9,3,GFF,F,F,T
Gamma9_GFT,Gamma_model_zero,f.gamma9,3,9,4,GFT,F,F,T
Gamma9_GTF,Gamma_model_zero,f.gamma9,3,9,5,GTF,F,T,F
Gamma9_GTT,Gamma_model_zero,f.gamma9,3,9,6,GTT,F,T,F
GammaMix_ETF,GammaMix_zero,f.gammamix9,4,9,2,ETF,T,T,F
GammaMix_LTF,GammaMix_zero,f.gammamix9,4,9,9,LTF,T,T,F
GammaMix_LTT,GammaMix_zero,f.gammamix9,4,9,10,LTT,T,T,F
GammaMix_WTF,GammaMix_zero,f.gammamix9,4,9,13,WTF,T,T,F
GammaMix_WTT,GammaMix_zero,f.gammamix9,4,9,14,WTT,T,T,F
GammaMix9_GFF,GammaMix_zero,f.gammamix9,4,9,3,GFF,T,F,F
GammaMix9_GFT,GammaMix_zero,f.gammamix9,4,9,4,GFT,T,F,F
GammaMix9_GTF,GammaMix_zero,f.gammamix9,4,9,5,GTF,T,T,T
GammaMix9_GTT,GammaMix_zero,f.gammamix9,4,9,6,GTT,T,T,T
LogN9_LFF,LogNormal_model_zero,f.logN9,5,9,7,LFF,F,F,T
LogN9_LFT,LogNormal_model_zero,f.logN9,5,9,8,LFT,F,F,T
LogN9_LTF,LogNormal_model_zero,f.logN9,5,9,9,LTF,F,T,F
LogN9_LTT,LogNormal_model_zero,f.logN9,5,9,10,LTT,F,T,F
LogNMix9_LFF,LogNormalMix_zero,f.logNMix9,6,9,7,LFF,T,F,F
LogNMix9_LFT,LogNormalMix_zero,f.logNMix9,6,9,8,LFT,T,F,F
LogNMix9_LTF,LogNormalMix_zero,f.logNMix9,6,9,9,LTF,T,T,T
LogNMix9_LTT,LogNormalMix_zero,f.logNMix9,6,9,10,LTT,T,T,T
LogNormalMix_ETF,LogNormalMix_zero,f.logNMix9,6,9,2,ETF,T,T,F
LogNormalMix_GTF,LogNormalMix_zero,f.logNMix9,6,9,5,GTF,T,T,F
LogNormalMix_GTT,LogNormalMix_zero,f.logNMix9,6,9,6,GTT,T,T,F
LogNormalMix_WTF,LogNormalMix_zero,f.logNMix9,6,9,13,WTF,T,T,F
LogNormalMix_WTT,LogNormalMix_zero,f.logNMix9,6,9,14,WTT,T,T,F
Weibull9_WFF,Weibull_model_zero,f.weibull9,7,9,11,WFF,F,F,T
Weibull9_WFT,Weibull_model_zero,f.weibull9,7,9,12,WFT,F,F,T
Weibull9_WTF,Weibull_model_zero,f.weibull9,7,9,13,WTF,F,T,F
Weibull9_WTT,Weibull_model_zero,f.weibull9,7,9,14,WTT,F,T,F
WeibullMix_ETF,WeibullMix_zero,f.weibullmix9,8,9,2,ETF,T,T,F
WeibullMix_GTF,WeibullMix_zero,f.weibullmix9,8,9,5,GTF,T,T,F
WeibullMix_GTT,WeibullMix_zero,f.weibullmix9,8,9,6,GTT,T,T,F
WeibullMix_LTF,WeibullMix_zero,f.weibullmix9,8,9,9,LTF,T,T,F
WeibullMix_LTT,WeibullMix_zero,f.weibullmix9,8,9,10,LTT,T,T,F
WeibullMix9_WFF,WeibullMix_zero,f.weibullmix9,8,9,11,WFF,T,F,F
WeibullMix9_WFT,WeibullMix_zero,f.weibullmix9,8,9,12,WFT,T,F,F
WeibullMix9_WTF,WeibullMix_zero,f.weibullmix9,8,9,13,WTF,T,T,T
WeibullMix9_WTT,WeibullMix_zero,f.weibullmix9,8,9,14,WTT,T,T,T
ExpoMix9_ETF,ExpoMix_zero,f.expmix9,2,9,2,ETF,T,T,T
ExpoMix9_EFF,ExpoMix_zero,f.expmix9,2,9,1,EFF,T,F,F
ExpoMix_WTT,ExpoMix_zero,f.expmix9,2,9,14,WTT,T,T,F
ExpoMix_WTF,ExpoMix_zero,f.expmix9,2,9,13,WTF,T,T,F
ExpoMix_LTT,ExpoMix_zero,f.expmix9,2,9,10,LTT,T,T,F
ExpoMix_LTF,ExpoMix_zero,f.expmix9,2,9,9,LTF,T,T,F
ExpoMix_GTT,ExpoMix_zero,f.expmix9,2,9,6,GTT,T,T,F
ExpoMix_GTF,ExpoMix_zero,f.expmix9,2,9,5,GTF,T,T,F
Expo9_ETF,Expo_model_zero,f.exp9,1,9,2,ETF,F,T,F
Expo9_EFF,Expo_model_zero,f.exp9,1,9,1,EFF,F,F,T
